"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Turley, Nik","543867","2020","92",21.7,12,".262",".298",29.3,5.2,34.5,"79.688613214","93.374907273",25.8,42.6
"Vincent, Nick","543883","2020","92",18.5,6.5,".357",".374",38.2,13.2,47.1,"79.307409706","95.4042625",21.1,49.8
"Weber, Ryan","543901","2020","185",14.6,7.6,".345",".351",27,7.8,50.4,"80.358486143","95.760899424",14.9,41.7
"Familia, Jeurys","544727","2020","120",19.2,15.8,".308",".324",25.3,4,30.7,"73.906517632","93.0549868",27.5,41.5
"Lyons, Tyler","544928","2020","10",0,10,".479",".646",50,25,75,"82.756815","100.64694875",8.3,41.4
"Strasburg, Stephen","544931","2020","23",8.7,4.3,".400",".306",30,0,50,"81.009188","95.393220526",26.3,44.7
"Díaz, Jairo","545064","2020","106",16,13.2,".449",".446",44.4,12.5,40.3,"79.596832571","94.460553478",23.5,45.6
"Bauer, Trevor","545333","2020","278",36,6.1,".227",".225",25.9,6.3,38,"77.766438101","93.703112739",30.2,46.4
"Lorenzen, Michael","547179","2020","147",23.8,11.6,".304",".279",28.7,4.3,26.6,"72.905224894","92.038004301",35.2,46.2
"Tanaka, Masahiro","547888","2020","197",22.3,4.1,".319",".309",32.9,9.1,37.1,"77.732469143","93.627920643",29.7,51.6
"Kim, Kwang Hyun","547942","2020","154",15.6,7.8,".251",".300",31.4,4.2,31.4,"76.468731525","93.024305932",18.3,45.4
"Ryu, Hyun Jin","547943","2020","275",26.2,6.2,".279",".274",32.4,3.2,29.2,"76.646542667","92.768601899",26,49.3
"Chapman, Aroldis","547973","2020","45",48.9,8.9,".268",".253",38.9,11.1,27.8,"71.425923333","91.95429",41.6,50.8
"Raley, Brooks","548384","2020","84",32.1,7.1,".281",".273",29.8,8.5,21.3,"68.921554783","91.577878478",31.7,49.7
"Stripling, Ross","548389","2020","220",18.2,8.2,".373",".384",37.9,10.6,39.1,"82.255938333","94.656446",18.8,43.1
"Kittredge, Andrew","552640","2020","31",9.7,6.5,".296",".384",34.6,3.8,34.6,"84.6697275","94.262710833",15,52.2
"García, Yimi","554340","2020","60",31.7,8.3,".208",".257",25,5.6,30.6,"78.109852222","93.800304571",29.2,46.9
"Wheeler, Zack","554430","2020","288",18.4,5.6,".291",".292",30.7,3.8,34,"73.20301619","93.138928469",22.6,52.9
"Matzek, Tyler","554431","2020","121",35.5,8.3,".261",".244",27.3,3,25.8,"76.687595455","92.485830923",27.5,51.1
"Peña, Félix","570240","2020","115",25.2,7,".297",".291",29.9,5.2,31.2,"78.549167632","93.031990789",27.5,43.5
"Rodríguez, Joely","570257","2020","52",32.7,9.6,".228",".282",33.3,10,43.3,"78.950339333","93.950674138",26.3,40.6
"Valdez, Phillips","570488","2020","137",21.9,11.7,".349",".316",31.8,4.5,29.5,"72.061373864","92.805608977",27.7,39.7
"Ureña, José","570632","2020","104",14.4,12.5,".344",".354",25.7,9.5,41.9,"79.267234054","95.431012192",27,47.7
"Robles, Hansel","570663","2020","80",25,12.5,".388",".394",46.9,14.3,38.8,"76.769245417","94.385725957",30.7,47.3
"Cessa, Luis","570666","2020","93",18.3,7.5,".299",".308",35.3,4.4,42.6,"77.922168824","94.060606765",27.7,48.1
"Boyd, Matthew","571510","2020","271",22.1,8.1,".378",".349",37,10.9,37,"75.498472609","93.758217268",27.9,48.5
"Brothers, Rex","571521","2020","15",53.3,20,".404",".305",25,25,100,"96.771845","99.2767525",50,44.7
"Corbin, Patrick","571578","2020","295",20.3,6.1,".357",".343",32.3,6.5,44.2,"80.567643519","94.923821302",23.6,50.4
"Davidson, Matt","571602","2020","15",6.7,13.3,".402",".594",58.3,25,58.3,"83.010416667","96.38299",0,54.3
"Farmer, Buck","571656","2020","89",15.7,5.6,".290",".345",30,8.6,41.4,"79.997766176","94.363779412",19.9,48.7
"Fiers, Mike","571666","2020","257",14.4,6.2,".332",".334",33.5,7.5,33.5,"78.570640102","93.424965867",15.6,44.9
"Floro, Dylan","571670","2020","98",19.4,4.1,".263",".283",32,2.7,26.7,"73.388132162","92.020565811",23.3,46.4
"Frankoff, Seth","571676","2020","16",0,12.5,".463",".281",21.4,0,28.6,"69.965035714","90.97125",10.8,54.4
"Giles, Ken","571704","2020","18",33.3,16.7,".454",".410",44.4,22.2,66.7,"90.829242","99.498936667",54.5,47.8
"Givens, Mychal","571710","2020","93",26.9,10.8,".320",".303",37.5,7.1,30.4,"77.738084286","92.521998214",27.7,49.6
"Hale, David","571735","2020","75",18.7,5.3,".370",".373",42.1,7,38.6,"77.372212143","94.092348393",22.8,48.2
"Heaney, Andrew","571760","2020","279",25.1,6.8,".306",".321",36.2,7.4,39.4,"77.671291809","93.87947738",27.7,50.5
"Kline, Branden","571858","2020","20",35,15,".211",".302",40,20,40,"83.794452","95.509639",37.3,58
"Loup, Aaron","571901","2020","96",22.9,4.2,".273",".312",34.8,9.1,33.3,"74.770129375","93.599975079",19.4,49.9
"Matz, Steven","571927","2020","142",25.4,7,".439",".392",42.7,13.5,49,"81.269161064","95.256366489",23.4,47.2
"Milner, Hoby","571948","2020","59",22,10.2,".377",".372",41,17.9,43.6,"77.0063395","94.156040513",19.8,40.9
"Paxton, James","572020","2020","90",28.9,7.8,".368",".315",37.5,10.7,44.6,"81.586261071","94.27226625",28.4,51.4
"Pazos, James","572021","2020","29",3.4,17.2,".575",".468",39.1,8.7,47.8,"80.836778182","95.788998182",11.9,45
"Richards, Garrett","572070","2020","213",21.6,8,".313",".327",37.2,8.8,35.1,"80.637716027","93.78769226",25.9,47.1
"Rosenthal, Trevor","572096","2020","91",41.8,8.8,".233",".217",20.5,6.8,40.9,"81.550711364","94.271716744",37.5,46.2
"Selman, Sam","572125","2020","82",28,11,".277",".269",25,4.2,20.8,"76.68034375","91.021658936",29.7,41
"Smith, Burch","572143","2020","44",29.5,2.3,".197",".225",30,6.7,33.3,"81.867221333","92.918835172",29.1,51.6
"Tepera, Ryan","572193","2020","89",34.8,13.5,".308",".298",44.4,4.4,37.8,"79.959096667","94.649914286",43.7,45.3
"Erlin, Robbie","572362","2020","122",20.5,5.7,".403",".355",38.6,13.6,42,"79.274532727","94.448561149",19.2,46.2
"Moran, Brian","572383","2020","27",25.9,25.9,".444",".394",38.5,7.7,46.2,"83.08358","95.602123077",36.6,37.3
"Bard, Luke","572703","2020","23",30.4,0,".409",".381",37.5,25,50,"84.59807625","94.87017875",33.3,45.6
"Greene, Shane","572888","2020","109",19.3,8.3,".281",".289",28.6,6.5,33.8,"77.100817632","93.592546133",19.8,40.7
"Johnson, Pierce","572955","2020","80",33.8,11.3,".285",".299",40.9,6.8,38.6,"78.443910455","93.966071591",40,43.5
"Keuchel, Dallas","572971","2020","257",16.3,6.6,".249",".317",34.3,4,31.3,"74.956208144","93.354275567",23.8,45.1
"Mantiply, Joe","573009","2020","15",13.3,26.7,".387",".413",44.4,0,55.6,"86.549664","97.095407778",24,43.9
"Morin, Mike","573046","2020","12",16.7,8.3,".161",".257",55.6,11.1,44.4,"86.161674","95.427497778",15.8,46.3
"Ramos, AJ","573109","2020","15",6.7,20,".472",".459",54.5,18.2,18.2,"80.457878333","91.306600909",16.1,47
"Rogers, Taylor","573124","2020","91",26.4,4.4,".346",".293",32.3,9.7,41.9,"78.882888065","94.503372097",23.1,50.8
"Thielbar, Caleb","573204","2020","82",26.8,11,".236",".276",35.3,3.9,25.5,"75.2668584","91.664986939",29,49.3
"Kikuchi, Yusei","579328","2020","194",24.2,10.3,".299",".282",29.1,3.9,36.2,"79.08295125","94.18261",29.7,46.5
"Goody, Nick","580792","2020","55",23.6,14.5,".430",".365",38.2,11.8,26.5,"74.980082941","92.570886765",23.6,44.7
"Adam, Jason","592094","2020","58",36.2,13.8,".295",".258",24.1,3.4,24.1,"74.024867857","91.895744643",41.7,44.2
"Bedrosian, Cam","592135","2020","58",19,10.3,".243",".301",24.4,2.4,43.9,"82.286487619","94.416786585",22.9,43.6
"Brennan, Brandon","592165","2020","33",21.2,15.2,".360",".390",33.3,14.3,57.1,"84.438400909","96.121704762",32.7,44.4
"Brice, Austin","592169","2020","87",28.7,14.9,".360",".330",31.9,6.4,44.7,"80.503183478","94.694073556",34.4,43.7
